index,Win Order,Record,Same_Winner_Count,Total_Count,Winrate,p-value,Expected Win Percentage
0,L,0-1,201,922,0.21800433839479394,1.0258344834068072,0.21800433839479394
68,W,1-0,721,922,0.7819956616052061,1.0258344834068072,0.7819956616052061
1,LL,0-2,35,519,0.0674373795761079,1.0496859933634437,0.0674373795761079
108,WW,2-0,484,519,0.9325626204238922,1.0496859933634672,0.9325626204238922
69,WL,1-1,237,403,0.5880893300248139,0.0004739146907029035,0.5
29,LW,1-1,166,403,0.4119106699751861,0.00047391469070280694,0.5
89,WLW,2-1,195,246,0.7926829268292683,0.6266117635283333,0.8066465256797583
109,WWL,2-1,224,259,0.8648648648648649,0.017564648571389396,0.8066465256797583
70,WLL,1-2,42,157,0.267515923566879,0.02916290868403726,0.1933534743202417
30,LWL,1-2,51,246,0.2073170731707317,0.6266117635283304,0.1933534743202417
49,LWW,2-1,115,157,0.732484076433121,0.029162908684037713,0.8066465256797583
2,LLL,0-3,0,222,0.0,,
128,WWW,3-0,222,222,1.0,2.0,1.0
10,LLW,1-2,35,259,0.13513513513513514,0.017564648571389826,0.1933534743202417
61,LWWW,3-1,65,69,0.9420289855072463,0.5388003863971147,0.9618528610354223
90,WLWL,2-2,68,111,0.6126126126126126,0.02229795480194796,0.5
4,LLLW,1-3,0,65,0.0,0.15962160358432523,0.03814713896457766
78,WLLW,2-2,38,77,0.4935064935064935,1.0,0.5
110,WWLL,2-2,96,129,0.7441860465116279,2.547560895571621e-08,0.5
71,WLLL,1-3,4,69,0.057971014492753624,0.5388003863971145,0.03814713896457766
129,WWWL,3-1,65,65,1.0,0.1596216035843252,0.9618528610354223
11,LLWL,1-3,2,130,0.015384615384615385,0.24644289007255832,0.03814713896457766
18,LLWW,2-2,33,129,0.2558139534883721,2.547560886850772e-08,0.5
50,LWWL,2-2,39,77,0.5064935064935064,1.0,0.5
101,WLWW,3-1,95,103,0.9223300970873787,0.08737034989754937,0.9618528610354223
31,LWLL,1-3,8,103,0.07766990291262135,0.08737034989754955,0.03814713896457766
38,LWLW,2-2,43,111,0.38738738738738737,0.022297954801947985,0.5
121,WWLW,3-1,128,130,0.9846153846153847,0.24644289007255837,0.9618528610354223
102,WLWWL,3-2,35,43,0.813953488372093,0.48674946690963505,0.860730593607306
96,WLWLW,3-2,61,69,0.8840579710144928,0.7273182819484023,0.860730593607306
91,WLWLL,2-3,7,42,0.16666666666666666,0.7346375944319554,0.13926940639269406
24,LLWWW,3-2,23,33,0.696969696969697,0.023769045312436496,0.860730593607306
122,WWLWL,3-2,32,34,0.9411764705882353,0.2585934178571221,0.860730593607306
84,WLLWW,3-2,30,34,0.8823529411764706,0.955898784791388,0.860730593607306
6,LLLWW,2-3,0,17,0.0,0.15623310734168802,0.13926940639269406
79,WLLWL,2-3,8,43,0.18604651162790697,0.48674946690963594,0.13926940639269406
13,LLWLW,2-3,2,34,0.058823529411764705,0.25859341785712214,0.13926940639269406
116,WWLLW,3-2,86,96,0.8958333333333334,0.4030359137152748,0.860730593607306
73,WLLLW,2-3,4,27,0.14814814814814814,1.060316114304678,0.13926940639269406
39,LWLWL,2-3,8,69,0.11594202898550725,0.7273182819484033,0.13926940639269406
130,WWWLL,3-2,17,17,1.0,0.15623310734168805,0.860730593607306
62,LWWWL,3-2,23,27,0.8518518518518519,1.0603161143046773,0.860730593607306
111,WWLLL,2-3,10,33,0.30303030303030304,0.02376904531243662,0.13926940639269406
56,LWWLW,3-2,35,43,0.813953488372093,0.48674946690963505,0.860730593607306
51,LWWLL,2-3,4,34,0.11764705882352941,0.9558987847913878,0.13926940639269406
44,LWLWW,3-2,35,42,0.8333333333333334,0.7346375944319542,0.860730593607306
33,LWLLW,2-3,8,43,0.18604651162790697,0.48674946690963594,0.13926940639269406
19,LLWWL,2-3,10,96,0.10416666666666667,0.4030359137152755,0.13926940639269406
117,WWLLWL,3-3,24,34,0.7058823529411765,0.024306510109454393,0.5
113,WWLLLW,3-3,10,13,0.7692307692307693,0.09228515625,0.5
123,WWLWLL,3-3,7,9,0.7777777777777778,0.1796875,0.5
103,WLWWLL,3-3,6,14,0.42857142857142855,0.79052734375,0.5
63,LWWWLL,3-3,7,11,0.6363636363636364,0.548828125,0.5
93,WLWLLW,3-3,7,18,0.3888888888888889,0.480682373046875,0.5
85,WLLWWL,3-3,13,17,0.7647058823529411,0.049041748046875,0.5
81,WLLWLW,3-3,8,22,0.36363636363636365,0.28627872467041016,0.5
75,WLLLWW,3-3,4,11,0.36363636363636365,0.548828125,0.5
57,LWWLWL,3-3,14,22,0.6363636363636364,0.28627872467041016,0.5
53,LWWLLW,3-3,4,17,0.23529411764705882,0.049041748046875,0.5
45,LWLWWL,3-3,11,18,0.6111111111111112,0.480682373046875,0.5
41,LWLWLW,3-3,8,24,0.3333333333333333,0.15158963203430176,0.5
35,LWLLWW,3-3,8,14,0.5714285714285714,0.79052734375,0.5
25,LLWWWL,3-3,3,13,0.23076923076923078,0.09228515625,0.5
21,LLWWLW,3-3,10,34,0.29411764705882354,0.024306510109454393,0.5
15,LLWLWW,3-3,2,9,0.2222222222222222,0.1796875,0.5
8,LLLWWW,3-3,0,5,0.0,0.0625,0.5
97,WLWLWL,3-3,16,24,0.6666666666666666,0.15158963203430176,0.5
131,WWWLLL,3-3,5,5,1.0,0.0625,0.5
